System_Name,Role_Code,Entitlement_Code
S4423552,EQNPROPGRP,DE
S4423552,EQNPROPGRP,DEA
S4423552,EQNPROPGRP,DEE
S4423552,EQNPROPGRP,DIE
S4423552,EQNPROPGRP,DII
S4423552,EQNPROPGRP,DNP
S4423552,EQNPROPGRP,EAH
S4423552,EQNPROPGRP,ENQ
S4423552,EQNPROPGRP,HCR
S4423552,EQNPROPGRP,ITB
S4423552,EQNPROPGRP,JRC
S4423552,EQNPROPGRP,KAA
S4423552,EQNPROPGRP,KAD
S4423552,EQNPROPGRP,KAR
S4423552,EQNPROPGRP,MCL
S4423552,EQNPROPGRP,MGP
S4423552,EQNPROPGRP,MMR
S4423552,EQNPROPGRP,MTE
S4423552,EQNPROPGRP,PB
S4423552,EQNPROPGRP,PRC
S4423552,EQNPROPGRP,PT
S4423552,EQNPROPGRP,QRY
S4423552,EQNPROPGRP,RAD
S4423552,EQNPROPGRP,RAI
S4423552,EQNPROPGRP,RS2
S4423552,EQNPROPGRP,RUR
S4423552,EQNPROPGRP,SIR
S4423552,EQNPROPGRP,TH
S4423552,EQNPROPGRP,USE
S4423552,EQNPROPGRP,WS
S4423552,EQNPROPGRP,YGE
S4423552,EQNPROPGRP,YTB
S4423552,EQNPROPGRP,YUT
S4423552,EQNPROPGRP,Y04
S4423552,EQNPROPGRP,ZZZ
S4423552,EQNPROPGRP,ZZ2
S4423552,EQNPROPGRP,ZZ7
S4423552,EQNPROPGRP,03C
S4423552,EQNPROPGRP,11C
S4423552,EQNPROPGRP,14C
S4423552,EQNPROPGRP,15C
S4423552,EQNPROPGRP,19C
S4423552,EQNPROPGRP,24C
S4423552,EQNPROPGRP,26C
S4423552,EQNPROPGRP,27C
S4423552,EQNPROPGRP,29C
S4423552,EQNPROPGRP,30C
S4423552,EQNPROPGRP,31C
S4423552,EQNPROPGRP,33C
S4423552,EQNPROPGRP,35C
S4423552,EQNPROPGRP,37C
S4423552,EQNPROPGRP,41C
S4423552,EQNPROPGRP,47C
S4423552,EQNPROPGRP,48C
S4423552,EQNPROPGRP,49C
S4423552,EQNPROPGRP,52C
S4423552,EQNPROPGRP,53C
S4423552,EQNPROPGRP,54C
S4423552,EQTTMPLT,.CA
S4423552,EQTTMPLT,.CM
S4423552,EQTTMPLT,.CQ
S4423552,EQTTMPLT,.CT
S4423552,EQTTMPLT,.C0
S4423552,EQTTMPLT,.C1
S4423552,EQTTMPLT,.C2
S4423552,EQTTMPLT,.C3
S4423552,EQTTMPLT,.C4
S4423552,EQTTMPLT,.C5
S4423552,EQTTMPLT,.DC
S4423552,EQTTMPLT,.DQ
S4423552,EQTTMPLT,.FE
S4423552,EQTTMPLT,.F0
S4423552,EQTTMPLT,.F1
S4423552,EQTTMPLT,.F2
S4423552,EQTTMPLT,.F3
S4423552,EQTTMPLT,.F6
S4423552,EQTTMPLT,.GA
S4423552,EQTTMPLT,.GU
S4423552,EQTTMPLT,.HL
S4423552,EQTTMPLT,.ID
S4423552,EQTTMPLT,.LB
S4423552,EQTTMPLT,.LE
S4423552,EQTTMPLT,.LQ
S4423552,EQTTMPLT,.NS
S4423552,EQTTMPLT,.RP
S4423552,EQTTMPLT,.SC
S4423552,EQTTMPLT,.SR
S4423552,EQTTMPLT,.SS
S4423552,EQTTMPLT,.ST
S4423552,EQTTMPLT,.SX
S4423552,EQTTMPLT,.ZZ
S4423552,EQTTMPLT,/AA
S4423552,EQTTMPLT,/AC
S4423552,EQTTMPLT,/AE
S4423552,EQTTMPLT,/AF
S4423552,EQTTMPLT,/AJ
S4423552,EQTTMPLT,/AK
S4423552,EQTTMPLT,/AP
S4423552,EQTTMPLT,/AS
S4423552,EQTTMPLT,/AU
S4423552,EQTTMPLT,/BA
S4423552,EQTTMPLT,/BB
S4423552,EQTTMPLT,/BD
S4423552,EQTTMPLT,/BE
S4423552,EQTTMPLT,/BM
S4423552,EQTTMPLT,/BR
S4423552,EQTTMPLT,/BU
S4423552,EQTTMPLT,/BX
S4423552,EQTTMPLT,/B0
S4423552,EQTTMPLT,/B1
S4423552,EQTTMPLT,/B2
S4423552,EQTTMPLT,/B3
S4423552,EQTTMPLT,/B4
S4423552,EQTTMPLT,/B5
S4423552,EQTTMPLT,/B6
S4423552,EQTTMPLT,/B7
S4423552,EQTTMPLT,/B8
S4423552,EQTTMPLT,/B9
S4423552,EQTTMPLT,/CA
S4423552,EQTTMPLT,/CC
S4423552,EQTTMPLT,/CE
S4423552,EQTTMPLT,/CH
S4423552,EQTTMPLT,/CI
S4423552,EQTTMPLT,/CM
S4423552,EQTTMPLT,/CO
S4423552,EQTTMPLT,/CT
S4423552,EQTTMPLT,/CV
S4423552,EQTTMPLT,/DA
S4423552,EQTTMPLT,/DB
S4423552,EQTTMPLT,/DC
S4423552,EQTTMPLT,/DE
S4423552,EQTTMPLT,/DM
S4423552,EQTTMPLT,/DR
S4423552,EQTTMPLT,/DS
S4423552,EQTTMPLT,/D1
S4423552,EQTTMPLT,/EF
S4423552,EQTTMPLT,/EH
S4423552,EQTTMPLT,/E1
S4423552,EQTTMPLT,/FM
S4423552,EQTTMPLT,/IF
S4423552,EQTTMPLT,/IL
S4423552,EQTTMPLT,/IO
S4423552,EQTTMPLT,/IP
S4423552,EQTTMPLT,/IQ
S4423552,EQTTMPLT,/JA
S4423552,EQTTMPLT,/JB
S4423552,EQTTMPLT,/JC
S4423552,EQTTMPLT,/JF
S4423552,EQTTMPLT,/JM
S4423552,EQTTMPLT,/JX
S4423552,EQTTMPLT,/KM
S4423552,EQTTMPLT,/LB
S4423552,EQTTMPLT,/LR
S4423552,EQTTMPLT,/LS
S4423552,EQTTMPLT,/MC
S4423552,EQTTMPLT,/MD
S4423552,EQTTMPLT,/ME
S4423552,EQTTMPLT,/MN
S4423552,EQTTMPLT,/MO
S4423552,EQTTMPLT,/MR
S4423552,EQTTMPLT,/MS
S4423552,EQTTMPLT,/ND
S4423552,EQTTMPLT,/NE
S4423552,EQTTMPLT,/NI
S4423552,EQTTMPLT,/NM
S4423552,EQTTMPLT,/NP
S4423552,EQTTMPLT,/NR
S4423552,EQTTMPLT,/NW
S4423552,EQTTMPLT,/OB
S4423552,EQTTMPLT,/O2
S4423552,EQTTMPLT,/PF
S4423552,EQTTMPLT,/PI
S4423552,EQTTMPLT,/PO
S4423552,EQTTMPLT,/PR
S4423552,EQTTMPLT,/P1
S4423552,EQTTMPLT,/RD
S4423552,EQTTMPLT,/RI
S4423552,EQTTMPLT,/RL
S4423552,EQTTMPLT,/RM
S4423552,EQTTMPLT,/RO
S4423552,EQTTMPLT,/RS
S4423552,EQTTMPLT,/RT
S4423552,EQTTMPLT,/RU
S4423552,EQTTMPLT,/SB
S4423552,EQTTMPLT,/SF
S4423552,EQTTMPLT,/SO
S4423552,EQTTMPLT,/SP
S4423552,EQTTMPLT,/ST
S4423552,EQTTMPLT,/TF
S4423552,EQTTMPLT,/UB
S4423552,EQTTMPLT,/UF
S4423552,EQTTMPLT,/UM
S4423552,EQTTMPLT,/UR
S4423552,EQTTMPLT,/US
S4423552,EQTTMPLT,/WS
S4423552,EQTTMPLT,AAE
S4423552,EQTTMPLT,AAH
S4423552,EQTTMPLT,AAI
S4423552,EQTTMPLT,AAP
S4423552,EQTTMPLT,AB
S4423552,EQTTMPLT,ABE
S4423552,EQTTMPLT,ABF
S4423552,EQTTMPLT,ABO
S4423552,EQTTMPLT,ABR
S4423552,EQTTMPLT,AB1
S4423552,EQTTMPLT,ACH
S4423552,EQTTMPLT,ACS
S4423552,EQTTMPLT,ACT
S4423552,EQTTMPLT,ADC
S4423552,EQTTMPLT,ADD
S4423552,EQTTMPLT,ADN
S4423552,EQTTMPLT,ADO
S4423552,EQTTMPLT,ADS
S4423552,EQTTMPLT,ADW
S4423552,EQTTMPLT,AE
S4423552,EQTTMPLT,AEA
S4423552,EQTTMPLT,AEV
S4423552,EQTTMPLT,AFE
S4423552,EQTTMPLT,AFS
S4423552,EQTTMPLT,AFX
S4423552,EQTTMPLT,AGD
S4423552,EQTTMPLT,AGE
S4423552,EQTTMPLT,AGI
S4423552,EQTTMPLT,AGT
S4423552,EQTTMPLT,AH
S4423552,EQTTMPLT,AHE
