System_Name,Entitlement_Code,Account_ID,CCM Access,Staff Access
S4423552,MSP,IC39, , 
S4423552,MSR,IC39, , 
S4423552,MTE,IC39, , 
S4423552,NLE,IC39, , 
S4423552,NOP,IC39, , 
S4423552,NPE,IC39, , 
S4423552,NPR,IC39, , 
S4423552,PB,IC39, , 
S4423552,PT,IC39, , 
S4423552,RAD,IC39, , 
S4423552,RAI,IC39, , 
S4423552,RHL,IC39, , 
S4423552,RQY,IC39, , 
S4423552,RRL,IC39, , 
S4423552,RS1,IC39, , 
S4423552,RS2,IC39, , 
S4423552,RUR,IC39, , 
S4423552,SIR,IC39, , 
S4423552,SUE,IC39, , 
S4423552,TH,IC39, , 
S4423552,TS,IC39, , 
S4423552,URP,IC39, , 
S4423552,USE,IC39, , 
S4423552,WS,IC39, , 
S4423552,YDI,IC39, , 
S4423552,ZZ2,IC39, , 
S4423552,03C,IC39, , 
S4423552,11C,IC39, , 
S4423552,14C,IC39, , 
S4423552,15C,IC39, , 
S4423552,17C,IC39, , 
S4423552,19C,IC39, , 
S4423552,24C,IC39, , 
S4423552,25C,IC39, , 
S4423552,26C,IC39, , 
S4423552,27C,IC39, , 
S4423552,28C,IC39, , 
S4423552,29C,IC39, , 
S4423552,30C,IC39, , 
S4423552,31C,IC39, , 
S4423552,32C,IC39, , 
S4423552,33C,IC39, , 
S4423552,35C,IC39, , 
S4423552,37C,IC39, , 
S4423552,41C,IC39, , 
S4423552,46C,IC39, , 
S4423552,47C,IC39, , 
S4423552,48C,IC39, , 
S4423552,49C,IC39, , 
S4423552,52C,IC39, , 
S4423552,53C,IC39, , 
S4423552,54C,IC39, , 
S4423552,/AA,IC44, , 
S4423552,/AE,IC44, , 
S4423552,/AF,IC44, , 
S4423552,/AJ,IC44, , 
S4423552,ADS,IC44, , 
S4423552,AGI,IC44, , 
S4423552,AMS,IC44, , 
S4423552,API,IC44, , 
S4423552,AS,IC44, , 
S4423552,ASI,IC44, , 
S4423552,CMM,IC44, , 
S4423552,CPI,IC44, , 
S4423552,CRE,IC44, , 
S4423552,CSI,IC44, , 
S4423552,DE,IC44, , 
S4423552,DEE,IC44, , 
S4423552,DIE,IC44, , 
S4423552,DSI,IC44, , 
S4423552,MDI,IC44, , 
S4423552,MDW,IC44, , 
S4423552,MMM,IC44, , 
S4423552,MSI,IC44, , 
S4423552,NRE,IC44, , 
S4423552,PRC,IC44, , 
S4423552,PSI,IC44, , 
S4423552,TH,IC44, , 
S4423552,WS,IC44, , 
S4423552,WXY,IC44, , 
S4423552,XCL,IC44, , 
S4423552,YDI,IC44, , 
S4423552,35C,IC44, , 
S4423552,41C,IC44, , 
S4423552,/AK,IC45,E, 
S4423552,/BR,IC45,E, 
S4423552,/JM,IC45,E, 
S4423552,AAE,IC45,E, 
S4423552,AB,IC45,E, 
S4423552,ABE,IC45,E, 
S4423552,AE,IC45,E, 
S4423552,AIE,IC45,E, 
S4423552,AS,IC45,E, 
S4423552,ASE,IC45,E, 
S4423552,ATL,IC45,E, 
S4423552,BL,IC45,E, 
S4423552,CB,IC45,E, 
S4423552,CBE,IC45,E, 
S4423552,CDE,IC45,E, 
S4423552,CE,IC45,E, 
S4423552,CFE,IC45,E, 
S4423552,CGR,IC45,E, 
S4423552,CSR,IC45,E, 
S4423552,CU,IC45,E, 
S4423552,DE,IC45,E, 
S4423552,DEA,IC45,E, 
S4423552,DEE,IC45,E, 
S4423552,DIE,IC45,E, 
S4423552,DTP,IC45,E, 
S4423552,EAH,IC45,E, 
S4423552,ENQ,IC45,E, 
S4423552,JRC,IC45,E, 
S4423552,RS1,IC45,E, 
S4423552,TH,IC45,E, 
S4423552,TS,IC45,E, 
S4423552,URP,IC45,E, 
S4423552,WS,IC45,E, 
S4423552,YDI,IC45,E, 
S4423552,29C,IC45,E, 
S4423552,31C,IC45,E, 
S4423552,52C,IC45,E, 
S4423552,/BM,IC54, , 
S4423552,/CM,IC54, , 
S4423552,/FM,IC54, , 
S4423552,/IL,IC54, , 
S4423552,/LR,IC54, , 
S4423552,/LS,IC54, , 
S4423552,/MC,IC54, , 
S4423552,/ME,IC54, , 
S4423552,/ND,IC54, , 
S4423552,/NM,IC54, , 
S4423552,/PR,IC54, , 
S4423552,/P1,IC54, , 
S4423552,AAE,IC54, , 
S4423552,AB,IC54, , 
S4423552,ABE,IC54, , 
S4423552,AE,IC54, , 
S4423552,AHE,IC54, , 
S4423552,AHR,IC54, , 
S4423552,AIE,IC54, , 
S4423552,AS,IC54, , 
S4423552,ASE,IC54, , 
S4423552,ATL,IC54, , 
S4423552,ATT,IC54, , 
S4423552,BAL,IC54, , 
S4423552,BFR,IC54, , 
S4423552,BL,IC54, , 
S4423552,BLR,IC54, , 
S4423552,BNK,IC54, , 
S4423552,CB,IC54, , 
S4423552,CBE,IC54, , 
S4423552,CDE,IC54, , 
S4423552,CE,IC54, , 
S4423552,CFE,IC54, , 
S4423552,CGR,IC54, , 
S4423552,CLC,IC54, , 
S4423552,CLG,IC54, , 
S4423552,CLI,IC54, , 
S4423552,CLR,IC54, , 
S4423552,CNE,IC54, , 
S4423552,CNU,IC54, , 
S4423552,CNX,IC54, , 
S4423552,COE,IC54, , 
S4423552,CPE,IC54, , 
S4423552,CSE,IC54, , 
S4423552,CSL,IC54, , 
S4423552,CSR,IC54, , 
S4423552,CUE,IC54, , 
S4423552,CUN,IC54, , 
S4423552,CUX,IC54, , 
S4423552,CYL,IC54, , 
S4423552,DE,IC54, , 
S4423552,DEA,IC54, , 
S4423552,DEE,IC54, , 
S4423552,DIE,IC54, , 
S4423552,DII,IC54, , 
S4423552,DNE,IC54, , 
S4423552,DR0,IC54, , 
S4423552,DTP,IC54, , 
S4423552,EAH,IC54, , 
S4423552,ENQ,IC54, , 
S4423552,EXE,IC54, , 
S4423552,FCL,IC54, , 
S4423552,FCP,IC54, , 
S4423552,FGP,IC54, , 
S4423552,FSR,IC54, , 
S4423552,FTE,IC54, , 
S4423552,FXP,IC54, , 
S4423552,GCL,IC54, , 
S4423552,GDE,IC54, , 
S4423552,GPR,IC54, , 
S4423552,GRE,IC54, , 
S4423552,HCR,IC54, , 
S4423552,JAE,IC54, , 
S4423552,JRC,IC54, , 
S4423552,KAA,IC54, , 
S4423552,KAD,IC54, , 
S4423552,KAR,IC54, , 
S4423552,MCL,IC54, , 
S4423552,MGP,IC54, , 
S4423552,MMR,IC54, , 
S4423552,MSP,IC54, , 
S4423552,MSR,IC54, , 
S4423552,MTE,IC54, , 
S4423552,NLE,IC54, , 
S4423552,NOP,IC54, , 
S4423552,NPE,IC54, , 
S4423552,NPR,IC54, , 
